ID,Date/Time,Location,Source,User ID,Text,comprehend_sentiment,comprehend_key_phrases
84,6/16/2023 10:15,San Francisco,Amazon Reviews,shopper123,The quality of this product is subpar.,NEGATIVE,"The quality, this product"
85,6/16/2023 13:40,Berlin,Spotify,musiclover456,I can't stop listening to this song. It's incredible!,POSITIVE,this song
86,6/16/2023 16:05,Sydney,Website Testimonial,testimonialuser1,Their website is so user-friendly. Love it!,POSITIVE,Their website
87,7/2/2023 9:12,New York,IMDb,user123,I loved the movie! It was fantastic!,POSITIVE,the movie
88,7/2/2023 10:45,Los Angeles,Yelp Reviews,user456,The customer service was terrible.,NEGATIVE,The customer service
89,7/2/2023 12:34,London,Goodreads,bookworm789,This book made me feel inspired. Highly recommended!,POSITIVE,"Highly, This book"
90,7/2/2023 15:21,San Francisco,Online Store,shopper789,I'm extremely disappointed with their product quality.,NEGATIVE,their product quality
91,7/2/2023 18:01,Sydney,TripAdvisor,travelenthusiast1,Just had the most amazing vacation! I can't wait to go back.,POSITIVE,the most amazing vacation
92,7/2/2023 20:45,Mumbai,Zomato,foodlover123,The food at this restaurant was awful. Never going back again!,NEGATIVE,"The food, this restaurant"
93,7/3/2023 9:17,Berlin,Spotify,musiclover789,I can't stop listening to this song. It's my new favorite!,POSITIVE,"my new favorite, this song"
94,7/3/2023 11:59,Toronto,Website Review,user789,Their website is so confusing and poorly designed.,NEGATIVE,Their website
95,7/3/2023 14:40,Orlando,Trip Report,thrillseeker1,I had an incredible experience at the theme park. So much fun!,POSITIVE,"an incredible experience, the theme park"
96,5/12/2025 9:20,Toronto,Twitter,brandon16,Great gift idea.,POSITIVE,Great gift idea
97,7/30/2025 6:33,Los Angeles,Twitter,connie57,Installation was a nightmare.,NEGATIVE,"Installation, a nightmare"
98,6/19/2025 20:27,New York,Amazon,ucarter,Great gift idea.,POSITIVE,Great gift idea
99,7/2/2025 18:38,Sydney,TripAdvisor,wendy07,I’m blown away!,POSITIVE,
100,5/13/2025 9:04,New York,TripAdvisor,gnicholson,Surprisingly good for the price!,POSITIVE,the price
101,5/31/2025 16:27,New York,Yelp Reviews,jasonfowler,I’m not satisfied with the performance.,NEGATIVE,the performance
102,7/23/2025 8:06,Cape Town,Amazon,reillyaaron,The colors were completely off.,NEGATIVE,The colors
103,5/29/2025 7:17,Johannesburg,Online Forum,haley97,User interface is clean and simple.,POSITIVE,User interface
104,7/29/2025 3:10,London,IMDb,joelshepherd,"Absolutely fantastic quality, I'm very impressed!",POSITIVE,fantastic quality
105,7/28/2025 22:49,Paris,IMDb,leahcook,Fast shipping and great support.,POSITIVE,"Fast shipping, great support"
106,7/24/2025 1:13,Berlin,TripAdvisor,colleen50,Loved it! Would definitely buy again.,POSITIVE,
107,7/31/2025 7:59,London,Yelp Reviews,mmoore,My kids love it!,POSITIVE,My kids
108,5/19/2025 14:33,Toronto,Online Forum,rose43,Very responsive team.,POSITIVE,responsive team
109,6/17/2025 2:42,New York,Twitter,klawrence,Felt cheap and flimsy.,NEGATIVE,
110,7/29/2025 0:50,Los Angeles,Online Forum,parkteresa,Couldn’t be happier.,POSITIVE,
111,5/27/2025 15:10,New York,Twitter,virginiasanders,"Decent, but could be better.",MIXED,
112,7/2/2025 12:47,London,Online Forum,kelsey08,This exceeded my expectations.,POSITIVE,my expectations
113,6/2/2025 2:02,Chicago,Online Forum,steven05,Felt cheap and flimsy.,NEGATIVE,
114,5/8/2025 1:35,Johannesburg,Online Forum,cpatrick,No instructions were included.,NEGATIVE,No instructions
115,7/24/2025 2:36,London,Twitter,virginia85,"Was skeptical, but it works great!",POSITIVE,
116,6/9/2025 13:40,New York,Amazon,michelebates,"Absolutely fantastic quality, I'm very impressed!",POSITIVE,fantastic quality
117,5/14/2025 14:56,Los Angeles,IMDb,jeremy32,This exceeded my expectations.,POSITIVE,my expectations
118,5/25/2025 17:03,Sydney,Online Forum,wramos,The product broke after just one week.,NEGATIVE,"The product, just one, week"
119,5/27/2025 4:24,New York,Yelp Reviews,georgeglover,Amazing battery life.,POSITIVE,Amazing battery life
120,7/6/2025 17:29,Cape Town,Twitter,rmiller,I’m blown away!,POSITIVE,
121,7/24/2025 4:00,Johannesburg,Twitter,rjones,Super intuitive and easy to use.,POSITIVE,
122,6/30/2025 12:10,Johannesburg,Amazon,merrittpatricia,Horrible return policy.,NEGATIVE,return policy
123,6/6/2025 10:45,Chicago,Amazon,campbellsusan,Amazing battery life.,POSITIVE,Amazing battery life
124,7/19/2025 17:26,Berlin,Twitter,sandramcdowell,Great gift idea.,POSITIVE,Great gift idea
125,7/24/2025 23:26,Los Angeles,Amazon,steven35,Customer service was very helpful.,POSITIVE,Customer service
126,6/19/2025 11:29,Johannesburg,Online Forum,mccluresamantha,Terrible experience overall.,NEGATIVE,Terrible
127,5/25/2025 9:29,New York,Twitter,laura56,"Nothing special, just average.",NEGATIVE,Nothing special
128,6/9/2025 14:03,New York,Amazon,kathleen51,Terrible experience overall.,NEGATIVE,Terrible
129,5/16/2025 16:43,London,Online Forum,hcasey,Very responsive team.,POSITIVE,responsive team
130,5/29/2025 13:51,New York,TripAdvisor,twhite,My kids love it!,POSITIVE,My kids
131,5/30/2025 21:05,London,IMDb,fjohnson,"Decent, but could be better.",MIXED,
132,6/18/2025 12:23,Sydney,Amazon,nbailey,My kids love it!,POSITIVE,My kids
133,6/2/2025 4:00,London,IMDb,reeserobert,"Absolutely fantastic quality, I'm very impressed!",POSITIVE,fantastic quality
134,6/28/2025 7:51,Johannesburg,Twitter,frios,"Decent, but could be better.",MIXED,
135,7/16/2025 12:10,Cape Town,Yelp Reviews,grobertson,Installation was a nightmare.,NEGATIVE,"Installation, a nightmare"
136,7/4/2025 20:12,Cape Town,IMDb,xmiller,"Absolutely fantastic quality, I'm very impressed!",POSITIVE,fantastic quality
137,5/11/2025 13:02,Toronto,Twitter,cindy69,Would not recommend to a friend.,NEGATIVE,a friend
138,7/3/2025 9:57,Sydney,Online Forum,nperkins,Amazing battery life.,POSITIVE,Amazing battery life
139,7/28/2025 22:51,Berlin,Twitter,emma69,Loved it! Would definitely buy again.,POSITIVE,
140,6/30/2025 9:48,Toronto,Twitter,evanfields,Surprisingly good for the price!,POSITIVE,the price
141,6/19/2025 23:55,Johannesburg,IMDb,theresaberry,I’m blown away!,POSITIVE,
142,6/27/2025 3:16,Toronto,Amazon,michael75,Does exactly what it says on the box.,POSITIVE,the box
143,7/1/2025 14:26,Paris,IMDb,courtneymcknight,"Decent, but could be better.",MIXED,
144,5/24/2025 7:06,Cape Town,Yelp Reviews,tyler89,Surprisingly good for the price!,POSITIVE,the price
145,5/16/2025 19:36,Los Angeles,Amazon,vgentry,Overhyped and underdelivered.,NEGATIVE,
146,7/3/2025 16:26,New York,Amazon,jenkinsanna,"Was skeptical, but it works great!",POSITIVE,
147,5/20/2025 6:21,Chicago,Amazon,samantha27,My kids love it!,POSITIVE,My kids
148,5/6/2025 22:42,Paris,Online Forum,torresanthony,User interface is clean and simple.,POSITIVE,User interface
149,7/3/2025 21:55,Cape Town,Yelp Reviews,richardromero,Does exactly what it says on the box.,POSITIVE,the box
150,6/13/2025 7:24,Berlin,Twitter,scott21,Does exactly what it says on the box.,POSITIVE,the box
151,7/10/2025 22:04,Los Angeles,IMDb,tholden,My kids love it!,POSITIVE,My kids
152,7/22/2025 6:06,Cape Town,Yelp Reviews,aherring,Saved me a lot of time and effort.,POSITIVE,"a lot, time and effort"
153,5/6/2025 3:12,Cape Town,IMDb,jhumphrey,Performance dropped after a few uses.,NEGATIVE,"Performance, a few uses"
154,7/29/2025 8:49,New York,Amazon,margaretpowell,Terrible experience overall.,NEGATIVE,Terrible
155,5/29/2025 0:18,Paris,TripAdvisor,peter09,Packaging was damaged when it arrived.,NEGATIVE,Packaging
156,6/19/2025 22:17,New York,IMDb,fordanita,Very responsive team.,POSITIVE,responsive team
157,7/3/2025 1:48,Chicago,Yelp Reviews,gibsoncharles,Does exactly what it says on the box.,POSITIVE,the box
158,6/27/2025 5:24,London,Online Forum,xhaynes,Fast shipping and great support.,POSITIVE,"Fast shipping, great support"
159,6/1/2025 21:32,London,Yelp Reviews,reyeswilliam,Saved me a lot of time and effort.,POSITIVE,"a lot, time and effort"
160,5/31/2025 1:13,Berlin,TripAdvisor,james31,Packaging was damaged when it arrived.,NEGATIVE,Packaging
161,6/9/2025 13:59,Paris,Amazon,ramseyeugene,Very responsive team.,POSITIVE,responsive team
162,6/14/2025 8:12,Los Angeles,Yelp Reviews,asimmons,"Decent, but could be better.",MIXED,
163,7/19/2025 22:29,Johannesburg,TripAdvisor,gina34,Amazing battery life.,POSITIVE,Amazing battery life
164,6/1/2025 15:30,Toronto,Twitter,amedina,The colors were completely off.,NEGATIVE,The colors
165,6/27/2025 23:00,London,Online Forum,rileyadam,Super intuitive and easy to use.,POSITIVE,
166,6/3/2025 1:10,Johannesburg,Amazon,bmartin,Would not recommend to a friend.,NEGATIVE,a friend
167,5/31/2025 18:20,Sydney,Amazon,andrewharrison,Horrible return policy.,NEGATIVE,return policy
168,5/31/2025 12:29,Berlin,Amazon,johnsonkatie,No instructions were included.,NEGATIVE,No instructions
169,5/15/2025 7:06,Johannesburg,Twitter,awhite,User interface is clean and simple.,POSITIVE,User interface
170,5/6/2025 19:21,London,Twitter,odiaz,Saved me a lot of time and effort.,POSITIVE,"a lot, time and effort"
171,7/29/2025 1:30,Toronto,Online Forum,oserrano,Would not recommend to a friend.,NEGATIVE,a friend
172,5/14/2025 22:10,Toronto,Online Forum,lesliemiddleton,Better than expected.,POSITIVE,
173,5/28/2025 13:44,Toronto,Online Forum,melissacook,Terrible experience overall.,NEGATIVE,Terrible
174,5/15/2025 22:06,London,Amazon,jessicarodriguez,Terrible experience overall.,NEGATIVE,Terrible
175,6/17/2025 20:11,Chicago,TripAdvisor,margaret04,Would not recommend to a friend.,NEGATIVE,a friend
176,7/22/2025 15:17,Sydney,Amazon,mcooper,Not worth the money at all.,NEGATIVE,the money
177,5/30/2025 23:35,Chicago,TripAdvisor,dana22,No instructions were included.,NEGATIVE,No instructions
178,5/25/2025 9:45,Berlin,Online Forum,joseph66,Horrible return policy.,NEGATIVE,return policy
179,6/4/2025 12:36,Johannesburg,Online Forum,daniel94,Packaging was damaged when it arrived.,NEGATIVE,Packaging
180,7/8/2025 21:40,Paris,Online Forum,taylorlynn,The product broke after just one week.,NEGATIVE,"The product, just one, week"
181,5/21/2025 22:24,Johannesburg,IMDb,ablackburn,Surprisingly good for the price!,POSITIVE,the price
182,5/9/2025 12:57,Chicago,Twitter,deborah12,"Absolutely fantastic quality, I'm very impressed!",POSITIVE,fantastic quality
183,6/15/2025 19:39,London,TripAdvisor,morgan20,Very responsive team.,POSITIVE,responsive team
184,6/30/2025 0:49,New York,TripAdvisor,mgibbs,Performance dropped after a few uses.,NEGATIVE,"Performance, a few uses"
185,5/5/2025 11:29,Sydney,IMDb,tinabrooks,Fast shipping and great support.,POSITIVE,"Fast shipping, great support"
186,7/12/2025 17:22,Sydney,Yelp Reviews,denise53,Terrible experience overall.,NEGATIVE,Terrible
187,7/20/2025 20:13,Toronto,TripAdvisor,gwebb,Would not recommend to a friend.,NEGATIVE,a friend
188,5/10/2025 9:13,New York,TripAdvisor,jaredmurphy,Installation was a nightmare.,NEGATIVE,"Installation, a nightmare"
189,6/2/2025 7:34,Berlin,Yelp Reviews,davidbrown,"Absolutely fantastic quality, I'm very impressed!",POSITIVE,fantastic quality
190,6/4/2025 1:02,Toronto,IMDb,davispenny,Would not recommend to a friend.,NEGATIVE,a friend
191,6/14/2025 5:32,Cape Town,Amazon,michaeljohnson,Super intuitive and easy to use.,POSITIVE,
192,5/21/2025 4:43,London,IMDb,watkinsmatthew,Fast shipping and great support.,POSITIVE,"Fast shipping, great support"
193,6/29/2025 6:04,Johannesburg,Twitter,ocollins,"Nothing special, just average.",NEGATIVE,Nothing special
194,7/15/2025 12:09,Paris,Twitter,dsmith,No instructions were included.,NEGATIVE,No instructions
195,5/12/2025 2:10,Chicago,Twitter,jamesdorsey,Horrible return policy.,NEGATIVE,return policy
196,6/23/2025 12:14,Paris,IMDb,denise38,Solid purchase. Works as advertised.,POSITIVE,"Solid, Works, purchase"
197,7/30/2025 9:58,Berlin,Online Forum,annaneal,I’m blown away!,POSITIVE,
198,7/28/2025 7:05,Los Angeles,Twitter,parsonselizabeth,Does exactly what it says on the box.,POSITIVE,the box
200,6/27/2025 14:32,London,Amazon Reviews,shopper001,Works like a charm. Highly recommend.,POSITIVE,"Highly, Works, a charm"
201,7/14/2025 9:18,New York,Online Store,reviewer555,Cheaply made and unreliable.,NEGATIVE,
202,6/22/2025 11:45,Sydney,Facebook,techfan_88,"Amazing product, exceeded my expectations!",POSITIVE,"Amazing product, my expectations"
203,7/1/2025 16:08,Chicago,Customer Survey,customer101,Terrible support and poor performance.,NEGATIVE,"Terrible support, poor performance"
204,7/19/2025 12:22,Berlin,Product Feedback Form,verified_user,I'm genuinely impressed with the quality.,POSITIVE,the quality
205,6/30/2025 8:33,Mumbai,Reddit,buyer_xyz,Stopped working after a week.,NEGATIVE,a week
206,7/10/2025 13:27,San Francisco,Instagram,feedbackbot,It's perfect for daily use. Worth every penny.,POSITIVE,"daily use, every penny"
207,6/25/2025 18:45,Tokyo,Tech Forum,user234,Waste of money. Avoid!,NEGATIVE,"Waste, money"
208,7/20/2025 15:10,Paris,Twitter,happybuyer77,Exactly what I needed. Reliable and sleek.,POSITIVE,Exactly what
209,7/13/2025 7:48,Toronto,Online Store,shopper001,Doesn't live up to the hype.,NEGATIVE,the hype
210,6/24/2025 10:55,London,Retail Store,guest123,Very pleased. Would buy again.,POSITIVE,
211,7/2/2025 17:39,Sydney,Amazon Reviews,reviewer555,Wouldn't recommend. Flawed design.,NEGATIVE,Flawed design
212,7/12/2025 19:25,Mumbai,Facebook,customer101,Love it! Great value and performance.,POSITIVE,"Great value, performance"
213,7/17/2025 8:11,New York,Customer Survey,techfan_88,Pretty disappointed. Not as advertised.,NEGATIVE,Pretty
214,7/8/2025 14:59,Paris,Product Feedback Form,buyer_xyz,Fast delivery and solid build quality.,POSITIVE,"Fast delivery, quality, solid"
215,7/3/2025 11:22,Toronto,Online Store,verified_user,Excellent packaging and timely arrival.,POSITIVE,"Excellent, packaging, timely arrival"
216,7/12/2025 9:57,Chicago,Reddit,user234,Broken on arrival.,NEGATIVE,"Broken, arrival"
216,7/3/2023 1:18,Los Angeles,TripAdvisor,user305,I’m very disappointed with this purchase.,NEGATIVE,this purchase
217,6/10/2023 4:29,Cape Town,TripAdvisor,user454,"Customer support was nice, but they couldn’t solve my issue.",MIXED,"Customer support, my issue"
218,11/18/2023 2:41,Toronto,IMDb,user861,"The product works well, but shipping took too long.",MIXED,"The product, shipping"
219,7/24/2023 10:54,Sydney,IMDb,user979,"Such a pleasant experience, I’ll be coming back for sure.",POSITIVE,Such a pleasant experience
220,8/28/2023 9:37,London,IMDb,user869,The quality exceeded my expectations.,POSITIVE,"The quality, my expectations"
221,5/5/2023 13:44,Los Angeles,IMDb,user781,"Waste of money, would not buy again.",NEGATIVE,"Waste, money"
222,12/18/2023 6:19,Paris,Google Reviews,user612,"The product works well, but shipping took too long.",MIXED,"The product, shipping"
223,3/29/2023 20:51,Tokyo,TripAdvisor,user494,Terrible service and unhelpful staff.,NEGATIVE,"Terrible service, unhelpful staff"
224,4/25/2023 21:31,London,Google Reviews,user787,The quality exceeded my expectations.,POSITIVE,"The quality, my expectations"
225,2/21/2023 0:10,Toronto,Online Forum,user953,"The product works well, but shipping took too long.",MIXED,"The product, shipping"
226,2/14/2023 16:24,Los Angeles,TripAdvisor,user769,"The service was friendly, but the prices are too high.",MIXED,"The service, the prices"
227,9/15/2023 12:33,Paris,Google Reviews,user991,Absolutely loved it! Will recommend to everyone.,POSITIVE,Absolutely
228,4/12/2023 7:29,London,IMDb,user607,"Waste of money, would not buy again.",NEGATIVE,"Waste, money"
229,6/6/2023 0:41,Los Angeles,Online Forum,user823,Terrible service and unhelpful staff.,NEGATIVE,"Terrible service, unhelpful staff"
230,1/10/2023 10:27,Los Angeles,Google Reviews,user513,Extremely frustrating experience.,NEGATIVE,Extremely frustrating experience
